2022-05-18 14:05:377 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 19:05:929 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 19:05:840 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 19:05:920 INFO  HomePage :53 - Clicking on SignInHeader: [[ChromeDriver: chrome on WINDOWS (550c4a2a8d61622611f66206c5858bf8)] -> xpath: //a[@class='login']]
2022-05-18 19:05:986 INFO  CreateAccountPage :120 - Enter email: Prime456@gmail.com[[ChromeDriver: chrome on WINDOWS (550c4a2a8d61622611f66206c5858bf8)] -> xpath: //input[@id='email_create']]
2022-05-18 19:05:519 INFO  CreateAccountPage :101 - Clicking on CreateAccount: [[ChromeDriver: chrome on WINDOWS (550c4a2a8d61622611f66206c5858bf8)] -> xpath: //body[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/form[1]/div[1]/div[3]/button[1]/span[1]]
2022-05-18 20:05:628 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 20:05:341 INFO  HomePage :53 - Clicking on SignInHeader: [[ChromeDriver: chrome on WINDOWS (99d3c39460c79526264a853dfd796d72)] -> xpath: //a[@class='login']]
2022-05-18 20:05:357 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 20:05:638 INFO  HomePage :53 - Clicking on SignInHeader: [[ChromeDriver: chrome on WINDOWS (553e2ecd8c271d5d346a67dc4ea1e5a5)] -> xpath: //a[@class='login']]
2022-05-18 20:05:918 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 20:05:83 INFO  HomePage :38 - Clicking on WomenHeader: [[ChromeDriver: chrome on WINDOWS (f5f82c92dcaf3e1053a531976a0ca0ea)] -> xpath: //header/div[3]/div[1]/div[1]/div[6]/ul[1]/li[1]/a[1]]
2022-05-18 20:05:335 INFO  WomenCategoryPage :84 - getting Women text from: [[ChromeDriver: chrome on WINDOWS (f5f82c92dcaf3e1053a531976a0ca0ea)] -> xpath: //span[@class='category-name']]
2022-05-18 20:05:95 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 20:05:917 INFO  HomePage :53 - Clicking on SignInHeader: [[ChromeDriver: chrome on WINDOWS (b6b7a49683d98eed6f5b72a4278ad5bb)] -> xpath: //a[@class='login']]
